trip,date_scrapped,start_time,end_time,duration_sec,total_months,status,errors_count,errors,url
BRU_EZE,2025-06-21,2025-06-25T17:57:49.629756,2025-06-25T17:58:16.761860,27.13,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-21/BRU_EZE/
BRU_HAV,2025-06-21,2025-06-25T17:58:17.107282,2025-06-25T17:58:39.781250,22.67,10,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-21/BRU_HAV/
GRU_BRU,2025-06-21,2025-06-25T17:58:40.026863,2025-06-25T17:59:07.163507,27.14,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-21/GRU_BRU/
BRU_NRT,2025-06-21,2025-06-25T17:59:07.411747,2025-06-25T17:59:34.760675,27.35,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-21/BRU_NRT/
HAV_BRU,2025-06-21,2025-06-25T17:59:35.008170,2025-06-25T18:00:03.359212,28.35,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-21/HAV_BRU/
BRU_GRU,2025-06-21,2025-06-25T18:00:03.605014,2025-06-25T18:00:29.031899,25.43,11,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-21/BRU_GRU/
EZE_BRU,2025-06-21,2025-06-25T18:00:29.277972,2025-06-25T18:00:53.941893,24.66,11,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-21/EZE_BRU/
NRT_BRU,2025-06-21,2025-06-25T18:00:54.187673,2025-06-25T18:01:21.844183,27.66,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-21/NRT_BRU/
PTY_EZE,2025-06-22,2025-06-25T18:01:22.098282,2025-06-25T18:01:50.406194,28.31,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-22/PTY_EZE/
BRU_POM,2025-06-22,2025-06-25T18:01:50.670649,2025-06-25T18:02:19.232745,28.56,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-22/BRU_POM/
BRU_AKL,2025-06-22,2025-06-25T18:02:19.483909,2025-06-25T18:02:47.851107,28.37,12,success,1,"[{""file_name"": ""2025-06-22_XxX_BRU_AKL_XxX_06_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-06-22_XxX_BRU_AKL_XxX_06_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-22/BRU_AKL/
BRU_EZE,2025-06-22,2025-06-25T18:02:48.103020,2025-06-25T18:03:16.076901,27.97,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-22/BRU_EZE/
BRU_NOU,2025-06-22,2025-06-25T18:03:16.321740,2025-06-25T18:03:44.583392,28.26,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-22/BRU_NOU/
MAO_EZE,2025-06-22,2025-06-25T18:03:44.832624,2025-06-25T18:04:13.036692,28.2,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-22/MAO_EZE/
