trip,date_scrapped,start_time,end_time,duration_sec,total_months,status,errors_count,errors,url
BRU_EZE,2025-06-03,2025-06-03T13:43:06.672665,2025-06-03T13:45:19.195123,132.52,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodagwIAxIIL20vMDE3N3pyDQgCEgkvbS8wMWx5NW1AAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
EZE_BRU,2025-06-03,2025-06-03T13:45:19.196161,2025-06-03T13:47:32.140624,132.94,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodag0IAhIJL20vMDFseTVtcgwIAxIIL20vMDE3N3pAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
BRU_GRU,2025-06-03,2025-06-03T13:47:32.141327,2025-06-03T13:49:39.766068,127.62,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodagwIAxIIL20vMDE3N3pyDQgDEgkvbS8wMjJwZm1AAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
GRU_BRU,2025-06-03,2025-06-03T13:49:39.766549,2025-06-03T13:51:45.467346,125.7,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodag0IAxIJL20vMDIycGZtcgwIAxIIL20vMDE3N3pAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
BRU_NRT,2025-06-03,2025-06-03T13:51:45.468006,2025-06-03T13:53:53.386895,127.92,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wN2Rma0ABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
NRT_BRU,2025-06-03,2025-06-03T13:53:53.409148,2025-06-03T13:56:12.672652,139.26,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDdkZmtyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_HAV,2025-06-03,2025-06-03T13:56:12.673094,2025-06-03T13:58:19.429322,126.76,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wZDZobkABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
HAV_BRU,2025-06-03,2025-06-03T13:58:19.429866,2025-06-03T14:00:28.177613,128.75,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMGQ2aG5yDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_ICN,2025-06-03,2025-06-03T14:00:28.178106,2025-06-03T14:02:34.025309,125.85,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8waHNxZkABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
ICN_BRU,2025-06-03,2025-06-03T14:02:34.025840,2025-06-03T14:04:45.732392,131.71,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMGhzcWZyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_PER,2025-06-03,2025-06-03T14:04:45.733036,2025-06-03T14:06:52.931351,127.2,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wNjJxZ0ABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
PER_BRU,2025-06-03,2025-06-03T14:06:52.931979,2025-06-03T14:09:05.510677,132.58,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDYycWdyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_MEL,2025-06-03,2025-06-03T14:09:05.511252,2025-06-03T14:11:17.339382,131.83,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARoXagwIAxIIL20vMDE3N3pyBwgBEgNNRUxAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
MEL_BRU,2025-06-03,2025-06-03T14:11:17.339959,2025-06-03T14:13:26.103214,128.76,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARoXagcIARIDTUVMcgwIAxIIL20vMDE3N3pAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
BRU_YUL,2025-06-03,2025-06-03T14:13:26.103748,2025-06-03T14:15:33.932893,127.83,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wNTJwN0ABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
YUL_BRU,2025-06-03,2025-06-03T14:15:33.933470,2025-06-03T14:15:50.229183,16.3,12,failure,1,"[{""phase"": ""init_or_main_loop"", ""error"": ""[Errno 30] Read-only file system: 'debug_departure_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDUycDdyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_KEF,2025-06-03,2025-06-03T14:15:50.229650,2025-06-03T14:17:56.566211,126.34,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wNmZsZ0ABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
KEF_BRU,2025-06-03,2025-06-03T14:17:56.566893,2025-06-03T14:20:02.743685,126.18,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDZmbGdyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
